seg seg cht_mean slope_mean relief_mean Lh_mean
103 103 -0.0707958401639 0.57190032377 16.3120704918 28.3376737705
104 104 -0.0898726329114 0.645889759494 15.769721519 23.9548037975
105 105 -0.312578933775 0.579726258278 14.9384688742 25.5730589404
106 106 -0.248758681592 0.590282049751 12.2626395522 20.5793208955
107 107 -0.272950084444 0.603832555556 12.6770168889 20.9250173333
108 108 -0.330608226891 0.698480113445 12.3768281513 17.3684092437
109 109 -0.350124094421 0.648560493562 11.37064 16.7094936052
110 110 -0.0713901779661 0.527384529661 21.9921101695 40.7085470339
111 111 -0.058623549763 0.605791175355 20.7337890995 34.0588563981
112 112 -0.150662369099 0.617666261803 20.7380420601 33.2507030043
113 113 -0.174314926471 0.665211196078 23.2700887255 35.0891872549
114 114 -0.185733210526 0.626789652632 21.2108452632 34.1087578947
115 115 -0.228821620253 0.655799995781 21.7138232068 32.9661586498
116 116 -0.27453071978 0.643402483516 14.9734708791 23.2767434066
117 117 -0.42100325 0.687471925 14.6050405 21.1176455
118 118 -0.384419926724 0.711145155172 13.8854448276 19.5043189655
119 119 -0.303301355649 0.684901179916 14.5778297908 20.9574179916
120 120 -0.247392439331 0.691793753138 18.645765272 26.3882556485
121 121 -0.222442125523 0.704400556485 21.2880439331 29.8672058577
122 122 -0.209522775424 0.684968605932 22.2843932203 32.3025237288
123 123 -0.142016887029 0.692611702929 21.1622870293 30.4548083682
124 124 -0.145189252101 0.699175189076 21.9943882353 31.3402529412
125 125 -0.176851502304 0.479604663594 10.9366618433 23.3535672811
126 126 -0.158742889831 0.522051694915 12.1113935593 23.1856097458
127 127 -0.354929419811 0.667759396226 15.8074316038 23.4419849057
128 128 -0.24916826601 0.640358541872 17.6798206897 27.4912763547
129 129 -0.185588288372 0.589323804651 14.537613814 24.4278386047
130 130 -0.0941266153846 0.537445466346 13.098645625 23.98689375
131 131 -0.159576702929 0.643613811715 18.6848707113 28.6381380753
132 132 -0.189516209205 0.656128518828 21.8202129289 32.8340824268
133 133 -0.227611372385 0.658397154812 18.601577364 27.4518635983
134 134 -0.216891760234 0.660514210526 11.2639054971 16.5790321637
135 135 -0.278226884444 0.680832426667 15.3739293333 22.3456497778
136 136 -0.185099292181 0.484598831276 12.0530259671 24.4326465021
137 137 -0.344642986047 0.69794455814 19.1669066977 26.4345223256
138 138 -0.215421741573 0.653447573034 17.70206 25.3969213483
139 139 -0.0495260066225 0.410376324503 22.6617205298 55.4433695364
140 140 -0.294900164179 0.633997626866 15.1563686567 23.8712094527
141 141 -0.25378555157 0.595055847534 15.607253722 26.5346789238
142 142 -0.123113746753 0.427536961039 12.5880064935 28.8535194805
143 143 -0.138068074766 0.622575341121 16.4956771028 25.8909584112
144 144 -0.135478280172 0.64566062069 24.1079137931 38.1170676724
145 145 -0.0661002134831 0.581059662921 24.2043651685 41.7773573034
146 146 -0.233989105263 0.730167151316 25.3504197368 34.8422776316
147 147 -0.270020689956 0.741930637555 25.3026558515 33.9513742358
148 148 -0.440855046875 0.706678364583 21.4074706771 29.0209982812
149 149 -0.203834258824 0.626178164706 18.8322295294 28.2064857647
150 150 -0.224668953333 0.50014708 13.2531173333 27.1913033333
151 151 -0.292831419492 0.587217105932 10.1994797034 17.2101745763
152 152 -0.298264199134 0.586989458874 7.93655147186 13.179065368
153 153 -0.250231801136 0.510634011364 12.5111386364 24.4174488636
154 154 -0.175466368182 0.504300245455 10.2747224545 20.2416795455
155 155 -0.160153556075 0.560766107477 16.1919518692 28.2980149533
156 156 -0.289322112195 0.674665321951 19.8184497561 28.6848112195
157 157 -0.443278729958 0.735955097046 19.750514346 26.1222345992
158 158 -0.453648079498 0.719007125523 16.7443178243 22.148116318
159 159 -0.110722 0.393299253012 10.2332542169 25.852610241
160 160 -0.212613679825 0.460866223684 12.235002193 26.8892122807
161 161 -0.125767299213 0.364878212598 13.7367188976 37.2947944882
162 162 -0.286860114286 0.706331857143 23.1489561905 32.8107514286
163 163 -0.454928857741 0.774733933054 22.8739029289 29.5186263598
164 164 -0.491462690377 0.7873128159 24.930958159 31.5300079498
165 165 -0.52473967364 0.791570832636 24.488932636 30.6904343096
166 166 -0.534059677824 0.746821543933 17.5397881172 22.8990728033
167 167 -0.361927047619 0.700128233766 20.8067268398 28.0169385281
168 168 -0.291714009901 0.706992712871 23.994190099 32.4591564356
169 169 -0.159464253731 0.465192485075 17.1930373134 37.2929522388
170 170 -0.121103443662 0.563187260563 17.6080753521 31.672056338
171 171 -0.199503126316 0.581695278947 20.8056057895 34.9498626316
172 172 -0.153216270588 0.630613117647 25.8981529412 40.3860364706
173 173 -0.290842388489 0.761417100719 32.5153776978 42.4434769784
174 174 -0.311628730942 0.742823399103 29.9528798206 39.7882488789
175 175 -0.14332981448 0.654982230769 24.4868384615 36.7542782805
176 176 -0.0770687130435 0.594683652174 16.85968 28.1676278261
177 177 -0.168859311475 0.143689321885 2.8751493922 6.1662120082
178 178 -0.172598422886 0.456086597015 10.7530771144 23.162000995
179 179 -0.293179562189 0.504049766169 7.73899164179 15.2048087562
180 180 -0.428180808 0.537091664 6.3586428 10.92076376
181 181 -0.256983412844 0.656149623853 28.2005100917 42.7523844037
182 182 -0.431245874477 0.746114334728 30.4169246862 40.811674477
183 183 -0.465384535565 0.742970322176 28.5869728033 38.2107527197
184 184 -0.444047617284 0.758435030864 29.2529981481 38.1784814815
185 185 -0.451944167364 0.786413811715 28.191651046 35.520376569
186 186 -0.361267443515 0.777297171548 21.7261334728 27.839923431
187 187 -0.1745017875 0.6915932375 15.40783375 21.96510375
188 188 -0.214486530201 0.532869838926 7.03936255034 12.8603747651
189 189 -0.264992441558 0.657034168831 12.7530492641 18.9559363636
190 190 -0.195861187234 0.700246859574 18.5844195745 26.4507442553
191 191 -0.115138627119 0.700907754237 29.5204288136 41.9003398305
192 192 -0.158280961905 0.373614761905 11.6362333333 30.7457619048
193 193 -0.121955155251 0.42969452968 16.0685634703 37.2632242009
194 194 -0.204729634703 0.498496598174 16.3300410959 32.9259858447
195 195 -0.258532222222 0.628080082126 18.1551323671 28.8641951691
196 196 -0.2856392103 0.673651347639 21.2346806867 31.3109424893
197 197 -0.326995611814 0.676811510549 26.9463814346 39.707807173
198 198 -0.349814021097 0.683815443038 26.5701632911 38.8076067511
199 199 -0.287871752101 0.684559508403 26.3531739496 39.2277357143
200 200 -0.335888829787 0.72600653617 29.1082123404 40.5602374468
201 201 -0.309689662447 0.782254054852 23.7253375527 30.7081151899
202 202 -0.306286171548 0.753324464435 29.6436937238 39.6638188285
203 203 -0.275650248963 0.744017427386 29.279853112 38.6486834025
204 204 -0.174936020921 0.704478966527 24.5929736402 34.3615824268
205 205 -0.196173300429 0.651386905579 14.6022607725 21.4696291845
206 206 -0.155647821656 0.571948248408 11.8346528025 20.1212273885
207 207 -0.286729090909 0.644316060606 19.8902575758 30.7977424242
