Length Cht Slope R Lh NEAR_DIST 
30.00000 -0.24800 0.48300 10.20000 20.10000 3608.70589 
30.00000 -0.16900 0.50600 12.90000 24.60000 3624.63834 
30.00000 -0.15300 0.39300 12.10000 29.70000 3645.89885 
30.00000 -0.11400 0.45100 14.70000 32.50000 3665.33924 
30.00000 -0.18700 0.54800 18.50000 33.70000 3675.79525 
23.19000 -0.19200 0.61500 17.40000 28.30000 3407.93605 
30.00000 -0.41800 0.67100 11.90000 17.50000 3419.30209 
30.00000 -0.39400 0.64400 12.20000 18.60000 3423.12812 
23.61000 -0.10600 0.28900 4.55000 15.40000 3420.20730 
30.00000 -0.08400 0.27500 5.55000 20.30000 3508.83397 
30.00000 -0.06780 0.23100 5.32000 23.40000 3498.21476 
30.00000 -0.32200 0.18200 4.41000 23.30000 3488.70625 
30.00000 0.00000 0.00000 0.00000 0.00000 3482.88959 
17.95000 -0.03170 0.19900 6.06000 29.40000 3484.16196 
12.05000 -0.04330 0.20200 8.90000 43.80000 3650.00030 
30.00000 -0.05860 0.23300 10.50000 46.10000 3650.53950 
30.00000 -0.08270 0.29500 10.20000 35.30000 3653.17065 
30.00000 -0.05750 0.32500 9.11000 28.30000 3657.16863 
30.00000 -0.04890 0.30800 13.10000 42.90000 3669.97121 
30.00000 -0.05780 0.34200 11.40000 33.20000 3675.49447 
30.00000 -0.06360 0.36700 11.10000 30.70000 3675.47752 
30.00000 -0.15700 0.43500 10.60000 24.40000 3676.26574 
30.00000 -0.12000 0.52900 9.53000 17.70000 3671.82710 
30.00000 -0.14100 0.49700 10.60000 20.90000 3673.01701 
30.00000 -0.15800 0.48700 10.40000 20.90000 3675.50308 
15.35000 -0.31800 0.67700 18.90000 27.50000 3671.68365 
14.65000 -0.42600 0.65900 15.30000 22.90000 3417.53668 
18.35000 -0.04810 0.17200 5.26000 30.20000 3417.38339 
11.65000 -0.05000 0.19400 6.40000 33.40000 3736.31151 
30.00000 -0.05990 0.23400 5.31000 23.20000 3735.63586 
30.00000 -0.06460 0.23600 4.84000 20.40000 3736.70580 
30.00000 -0.04220 0.22500 6.85000 30.40000 3745.61988 
30.00000 -0.06150 0.25800 8.07000 31.40000 3749.79933 
30.00000 -0.07040 0.29600 8.56000 28.90000 3752.49664 
30.00000 -0.06800 0.27100 5.41000 19.30000 3755.03037 
18.49000 -0.20100 0.52700 14.70000 27.80000 3757.84635 
11.51000 -0.31000 0.54700 12.10000 22.00000 3447.10915 
30.00000 -0.25700 0.53400 16.10000 30.00000 3450.98065 
30.00000 -0.32600 0.56000 13.70000 24.30000 3462.10186 
30.00000 -0.20700 0.61600 17.00000 27.20000 3468.91252 
30.00000 -0.20500 0.56900 13.40000 23.30000 3476.19091 
30.00000 -0.23000 0.61000 12.00000 19.40000 3466.87472 
30.00000 -0.22900 0.53200 12.10000 22.80000 3461.71331 
30.00000 -0.12400 0.33900 7.42000 21.30000 3444.95624 
30.00000 -0.07570 0.30500 7.46000 24.20000 3443.37738 
30.00000 -0.05130 0.30000 5.52000 18.10000 3440.66240 
